TOP LEVEL,LEVEL 1,LEVEL 2,LEVEL 3,LEVEL 4,LEVEL 5,Final Recommendations -- Keep Translations Synced,Out of scope for TYS (Access ),Corp Comm Page (Out of Scope for TYS),Translated,URLs,Comments
Home,,,,,,1,,,Y,https://www.sce.com/wps/portal/home/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzlHMEVISk8wSUdUUTMwSTNRME5TQUEzMDA2/,
,Your Home,,,, ,1,,,Y,https://www.sce.com/wps/portal/home/residential/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSUdSNzIwSUpWRUxPQjEyMDgy/,
,,My Account,,,,1,,,Y,https://www.sce.com/wps/portal/home/residential/my-account/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSThCM0UwSUIwT05BUkEwU1Y0/,
,,,Budget Assistant,,,,,,,https://www.sce.com/wps/portal/home/residential/my-account/budget-assistant-and-you/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0pJREExRzQySU9KQUUwQTQ3QkwyVVQzOTgw/,
,,,,Share My Data,,,,,,https://www.sce.com/wps/portal/home/residential/my-account/budget-assistant-and-you/Share-My-Data/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0pJREExRzQySThLQzQwQTlQMUhTR0EwNEgy/,
,,,Home Area Network,,,,,,,https://www.sce.com/wps/portal/home/residential/my-account/hanlogin/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSUczQ0MwSVJTMkE0NzQwOUc2/,
,,,,Home Area Network - Frequently Asked Questions,,,,,,https://www.sce.com/wps/portal/home/residential/my-account/hanlogin/faq/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSTg0RjEwSVI2VTkwSDYwU1E1/,
,,,Mobile My Account,,,,,,,https://www.sce.com/wps/portal/home/residential/my-account/mobile-my-account/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2X0pJREExRzQySU81TDMwQU03UzE4RjMzMDAy/,
,,Ways to Save | Reduce Your Electric Bill,,,,,,,,https://www.sce.com/wps/portal/home/residential/rebates-savings/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSUdFNUEwSUIwOVQ1TDYzUTEz/,
,,,Rebates | Incentive Programs | Energy savings,,,1,,,Y,https://www.sce.com/wps/portal/home/residential/rebates-savings/rebates/!ut/p/b1/jZBRT8IwFIV_iw88Nr1du9k-lkBGp7AgQ1lflqZOrboyQqPy790IMTFRxn26Nzkn554Pa7zB2psP92yC23rz3t86qQhP5UytQMHNPYAaT5JbtSggL-JOUHYC-GckHP0iheksy0GlxZKCoktYrKSkAAl-wBpr60MbXnC5t3Vltz7UPlS1H8FpH8Hehboxba9trXvEZWyuBQHOkOCEI2YigjgBhmJmIxabiHN4Ov12Jvyibj_-vJgLUNk0yZgYRzCnQ_5jtwE6v_n8ETEEMLughXvd7bTsOPc8vwLeDIJum3XD6cGhtzt--JRX36be-ZU!/dl4/d5/L2dJQSEvUUt3QS80SmtFL1o2XzE4R0FISVMwSUdFNUEwSUIwOVQ1TDYzVTc2/,
